Process Stage,Technology,Time Period,Location,Functional Unit,Raw Material Type,Raw Material Quantity (kg or unit),Energy Input Type,Energy Input Quantity (MJ),Transport Mode,Transport Distance (km),Fuel Type,Emissions to Air CO2 (kg),Emissions to Air SOx (kg),Emissions to Air NOx (kg),Emissions to Air Particulate Matter (kg),Emissions to Water BOD (kg),Emissions to Water Heavy Metals (kg),Greenhouse Gas Emissions (kg CO2-eq),Recycled Content (%),Reuse Potential (%),End-of-Life Treatment,Recovery Rate (%)
Manufacturing,Advanced,2020-2025,South America,1 kg Copper Wire,Copper Scrap,2.922,Coal,97.13,Rail,942.9,Electric,4.993,0.506,3.033,2.038,0.533,0.309,1.437,70.78,96.58,Reuse,53.24
Raw Material Extraction,Advanced,2010-2014,South America,1 kg Aluminium Sheet,Aluminium Scrap,1.983,Natural Gas,93.89,Ship,371.0,Heavy Fuel Oil,4.573,4.278,2.644,3.384,0.7,0.641,3.635,69.28,0.32,Recycling,71.0
Transport,Emerging,2010-2014,South America,1 kg Aluminium Sheet,Copper Ore,2.997,Coal,26.72,Rail,805.7,Heavy Fuel Oil,2.026,2.429,0.138,2.007,0.167,0.276,5.417,4.6,46.05,Recycling,52.26
Raw Material Extraction,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Scrap,3.07,Electricity,46.76,Ship,870.8,Heavy Fuel Oil,0.188,3.069,4.331,0.205,0.496,0.589,4.223,25.25,78.56,Landfill,56.74
Manufacturing,Conventional,2015-2019,North America,1 m2 Aluminium Panel,Copper Scrap,1.921,Electricity,76.71,Rail,749.2,Heavy Fuel Oil,1.727,2.443,3.323,1.716,0.629,0.251,6.194,31.07,93.61,Incineration,83.37
Manufacturing,Emerging,2010-2014,South America,1 kg Aluminium Sheet,Aluminium Scrap,3.043,Coal,56.82,Ship,65.6,Electric,3.248,1.641,3.061,4.201,0.045,0.607,11.502,20.68,64.64,Incineration,55.48
Raw Material Extraction,Conventional,2010-2014,North America,1 kg Copper Wire,Aluminium Scrap,3.953,Natural Gas,11.95,Ship,449.2,Heavy Fuel Oil,4.99,3.446,3.421,1.589,0.094,0.949,2.557,99.27,12.58,Incineration,17.09
Manufacturing,Conventional,2015-2019,Europe,1 m2 Aluminium Panel,Copper Scrap,1.888,Electricity,51.73,Truck,792.5,Diesel,4.855,1.794,0.102,3.083,0.711,0.397,4.078,30.6,65.58,Landfill,49.42
Raw Material Extraction,Conventional,2010-2014,Asia,1 m2 Aluminium Panel,Copper Scrap,3.845,Electricity,22.6,Ship,843.6,Electric,0.779,1.65,2.956,3.684,0.266,0.948,14.269,21.77,72.58,Reuse,69.63
Manufacturing,Emerging,2010-2014,Asia,1 kg Copper Wire,Copper Scrap,3.887,Coal,91.67,Ship,714.6,Diesel,1.76,3.953,3.479,2.871,0.354,0.921,10.499,62.81,41.54,Landfill,78.08
Manufacturing,Emerging,2020-2025,North America,1 m2 Aluminium Panel,Copper Scrap,2.035,Natural Gas,81.25,Rail,116.9,Diesel,3.545,2.384,3.494,2.657,0.134,0.477,19.309,75.48,30.02,Recycling,94.41
Use,Emerging,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Ore,4.005,Electricity,37.08,Rail,607.5,Diesel,2.133,0.483,4.03,0.955,0.458,0.703,18.678,6.27,39.32,Incineration,61.46
End-of-Life,Emerging,2015-2019,South America,1 m2 Aluminium Panel,Aluminium Ore,4.007,Coal,92.17,Ship,10.5,Diesel,3.139,0.035,3.936,0.748,0.895,0.155,15.404,28.93,55.73,Landfill,60.84
Use,Advanced,2015-2019,South America,1 m2 Aluminium Panel,Copper Ore,1.43,Coal,30.57,Ship,116.4,Electric,0.026,1.197,2.58,3.568,0.794,0.07,5.812,77.02,48.09,Incineration,18.22
End-of-Life,Advanced,2010-2014,North America,1 kg Aluminium Sheet,Copper Scrap,2.265,Natural Gas,27.73,Truck,60.1,Electric,3.818,1.458,4.726,4.441,0.716,0.327,5.959,47.53,35.46,Recycling,90.12
End-of-Life,Conventional,2015-2019,Europe,1 kg Copper Wire,Aluminium Scrap,1.056,Coal,72.72,Rail,614.8,Electric,4.032,2.712,3.148,4.814,0.092,0.105,8.175,47.27,19.99,Incineration,8.27
End-of-Life,Conventional,2020-2025,North America,1 kg Copper Wire,Copper Scrap,0.6,Electricity,76.69,Rail,490.2,Heavy Fuel Oil,4.217,1.804,3.517,2.443,0.612,0.37,2.083,94.74,83.61,Reuse,31.19
Use,Emerging,2015-2019,North America,1 kg Copper Wire,Copper Ore,4.814,Coal,30.75,Truck,448.6,Electric,3.776,1.545,1.623,2.05,0.468,0.124,0.841,91.92,35.32,Reuse,10.17
End-of-Life,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Ore,3.916,Coal,30.21,Ship,189.8,Heavy Fuel Oil,4.813,4.603,0.529,4.496,0.891,0.634,10.83,21.74,12.14,Reuse,60.64
Transport,Conventional,2010-2014,Asia,1 kg Copper Wire,Aluminium Scrap,4.199,Coal,69.18,Ship,189.0,Heavy Fuel Oil,1.45,2.732,3.125,0.361,0.614,0.736,4.036,24.62,25.89,Recycling,93.98
End-of-Life,Emerging,2010-2014,Asia,1 kg Copper Wire,Aluminium Scrap,2.332,Electricity,53.53,Ship,727.1,Heavy Fuel Oil,1.857,0.528,3.272,3.336,0.261,0.035,13.474,70.34,2.61,Recycling,69.32
End-of-Life,Advanced,2010-2014,North America,1 m2 Aluminium Panel,Copper Ore,4.725,Coal,18.7,Truck,526.1,Heavy Fuel Oil,3.484,1.15,3.758,4.34,0.815,0.259,16.182,41.33,26.65,Landfill,16.8
Transport,Conventional,2020-2025,Asia,1 kg Aluminium Sheet,Copper Scrap,4.59,Natural Gas,43.26,Ship,867.1,Electric,0.798,3.835,0.55,0.088,0.995,0.074,9.5,87.84,81.94,Landfill,47.12
Transport,Conventional,2015-2019,Asia,1 kg Copper Wire,Aluminium Scrap,3.249,Coal,63.34,Ship,118.7,Electric,1.425,1.505,1.891,1.37,0.251,0.355,7.895,48.72,17.35,Incineration,78.83
Manufacturing,Conventional,2020-2025,Europe,1 m2 Aluminium Panel,Aluminium Scrap,4.373,Natural Gas,25.57,Truck,132.1,Diesel,3.612,4.621,0.176,0.072,0.183,0.685,19.313,75.04,57.3,Reuse,70.05
Raw Material Extraction,Conventional,2010-2014,Europe,1 kg Aluminium Sheet,Aluminium Scrap,1.538,Natural Gas,69.17,Ship,328.2,Electric,1.112,1.183,3.339,3.836,0.582,0.064,1.241,21.72,28.65,Incineration,40.48
Use,Advanced,2020-2025,North America,1 m2 Aluminium Panel,Aluminium Ore,0.842,Electricity,72.79,Ship,714.4,Heavy Fuel Oil,1.733,2.815,0.505,2.076,0.858,0.661,2.527,84.76,68.07,Incineration,45.31
Use,Advanced,2015-2019,South America,1 m2 Aluminium Panel,Aluminium Ore,3.614,Coal,18.11,Rail,555.0,Diesel,3.09,4.639,0.334,1.874,0.937,0.217,16.357,0.16,2.59,Reuse,32.76
Raw Material Extraction,Conventional,2020-2025,Europe,1 kg Copper Wire,Aluminium Ore,3.958,Electricity,11.31,Rail,389.0,Electric,0.657,1.118,2.515,1.596,0.212,0.393,14.171,11.94,47.96,Reuse,27.47
Transport,Advanced,2010-2014,South America,1 m2 Aluminium Panel,Aluminium Ore,2.204,Coal,82.33,Rail,930.4,Electric,1.215,3.15,3.383,4.212,0.899,0.468,19.66,97.08,50.65,Recycling,54.2
Raw Material Extraction,Advanced,2020-2025,North America,1 m2 Aluminium Panel,Copper Ore,3.505,Electricity,38.01,Truck,665.4,Heavy Fuel Oil,2.571,0.177,4.264,4.702,0.026,0.789,8.023,58.56,50.0,Landfill,55.13
End-of-Life,Advanced,2010-2014,South America,1 kg Aluminium Sheet,Aluminium Ore,2.728,Electricity,85.48,Rail,686.7,Heavy Fuel Oil,2.063,3.443,4.825,0.402,0.388,0.87,14.912,93.49,3.98,Incineration,86.28
Raw Material Extraction,Conventional,2020-2025,North America,1 kg Copper Wire,Copper Ore,4.063,Coal,81.69,Truck,601.3,Diesel,0.26,2.696,2.039,2.635,0.74,0.596,6.205,59.95,8.31,Recycling,0.54
Raw Material Extraction,Conventional,2015-2019,North America,1 kg Copper Wire,Aluminium Ore,2.307,Coal,75.96,Truck,824.4,Heavy Fuel Oil,2.749,4.34,0.63,4.821,0.922,0.599,1.645,45.42,17.93,Recycling,62.84
Use,Emerging,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Scrap,1.355,Coal,48.7,Rail,213.6,Electric,0.909,1.24,0.146,3.581,0.307,0.698,13.243,6.61,31.2,Recycling,56.69
Manufacturing,Advanced,2010-2014,North America,1 kg Aluminium Sheet,Aluminium Scrap,4.633,Natural Gas,40.73,Truck,509.7,Electric,3.751,4.016,4.617,2.486,0.194,0.764,2.949,41.83,62.82,Recycling,69.19
End-of-Life,Conventional,2010-2014,South America,1 m2 Aluminium Panel,Copper Scrap,3.799,Electricity,20.16,Rail,981.8,Heavy Fuel Oil,0.892,0.48,3.32,4.55,0.559,0.595,11.0,4.27,68.13,Reuse,35.82
Raw Material Extraction,Advanced,2020-2025,Europe,1 m2 Aluminium Panel,Aluminium Scrap,4.711,Coal,19.49,Truck,309.1,Electric,2.524,2.387,2.002,1.572,0.147,0.821,9.251,57.3,54.66,Landfill,57.55
Manufacturing,Emerging,2010-2014,North America,1 kg Aluminium Sheet,Copper Scrap,3.672,Coal,63.31,Truck,281.2,Electric,2.769,1.223,2.944,2.16,0.039,0.734,5.856,92.02,28.06,Reuse,99.66
Raw Material Extraction,Conventional,2010-2014,Asia,1 kg Aluminium Sheet,Copper Ore,2.583,Electricity,3.61,Truck,85.5,Heavy Fuel Oil,0.41,0.281,1.339,1.623,0.111,0.438,7.624,63.63,19.59,Incineration,91.4
Manufacturing,Conventional,2020-2025,North America,1 kg Aluminium Sheet,Aluminium Ore,2.822,Electricity,62.75,Ship,49.1,Electric,2.795,1.841,4.621,4.428,0.638,0.768,13.07,1.7,70.31,Recycling,17.71
Use,Advanced,2015-2019,North America,1 kg Copper Wire,Copper Ore,3.572,Coal,2.04,Ship,317.8,Heavy Fuel Oil,2.585,1.666,3.47,2.614,0.96,0.358,14.576,83.58,25.36,Recycling,75.41
Use,Advanced,2020-2025,Europe,1 m2 Aluminium Panel,Copper Ore,2.27,Natural Gas,13.74,Rail,13.6,Diesel,3.719,0.931,0.256,2.486,0.347,0.692,2.594,13.27,40.41,Recycling,52.04
Manufacturing,Conventional,2015-2019,North America,1 kg Aluminium Sheet,Copper Scrap,4.209,Natural Gas,58.98,Ship,903.6,Electric,1.089,2.981,3.276,3.629,0.989,0.468,7.702,85.22,17.68,Recycling,3.7
Manufacturing,Conventional,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Ore,2.496,Coal,25.47,Truck,402.6,Diesel,4.93,1.742,3.54,1.252,0.303,0.243,11.657,22.61,71.84,Landfill,68.03
Manufacturing,Emerging,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Ore,2.396,Electricity,3.53,Ship,32.4,Heavy Fuel Oil,2.664,4.196,2.994,2.178,0.882,0.197,7.509,56.53,29.17,Reuse,99.77
End-of-Life,Emerging,2020-2025,Europe,1 kg Copper Wire,Copper Ore,2.535,Electricity,6.12,Truck,184.3,Heavy Fuel Oil,2.662,2.75,4.921,3.0,0.667,0.214,2.584,60.2,86.49,Incineration,58.74
End-of-Life,Advanced,2010-2014,Europe,1 kg Aluminium Sheet,Copper Scrap,2.493,Coal,58.24,Truck,474.1,Electric,0.709,3.706,2.665,1.997,0.56,0.241,8.845,62.24,22.62,Reuse,74.9
End-of-Life,Conventional,2015-2019,North America,1 kg Aluminium Sheet,Aluminium Scrap,2.845,Electricity,86.31,Truck,848.8,Diesel,2.473,0.977,3.683,2.093,0.595,0.107,12.816,37.36,33.42,Landfill,97.99
Raw Material Extraction,Conventional,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Ore,2.446,Natural Gas,68.13,Ship,631.5,Diesel,0.522,3.74,1.616,3.995,0.608,0.317,7.448,73.15,55.01,Recycling,66.84
Transport,Advanced,2010-2014,South America,1 kg Aluminium Sheet,Aluminium Ore,1.212,Coal,78.91,Rail,327.2,Heavy Fuel Oil,3.099,0.573,1.607,3.244,0.274,0.88,13.394,87.03,39.54,Recycling,3.4
Transport,Conventional,2010-2014,Asia,1 kg Copper Wire,Copper Scrap,3.093,Coal,34.58,Ship,453.7,Heavy Fuel Oil,3.406,3.503,0.138,3.847,0.494,0.557,6.311,42.08,71.04,Incineration,77.67
End-of-Life,Advanced,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Scrap,2.242,Coal,69.42,Truck,265.5,Heavy Fuel Oil,4.16,3.049,3.876,2.386,0.229,0.429,7.939,33.27,21.22,Landfill,75.92
Use,Advanced,2015-2019,South America,1 kg Copper Wire,Copper Ore,0.889,Coal,88.87,Rail,183.3,Electric,4.899,4.942,1.992,4.939,0.869,0.082,18.973,4.25,18.19,Incineration,58.46
End-of-Life,Emerging,2020-2025,South America,1 kg Copper Wire,Copper Ore,0.863,Coal,17.01,Ship,954.0,Diesel,4.973,3.991,2.576,4.502,0.112,0.943,7.355,86.15,66.84,Incineration,96.03
Manufacturing,Emerging,2010-2014,Europe,1 kg Copper Wire,Aluminium Scrap,4.391,Natural Gas,88.9,Rail,635.4,Heavy Fuel Oil,4.166,3.786,0.808,3.243,0.148,0.869,1.786,98.7,40.06,Reuse,17.06
Manufacturing,Advanced,2020-2025,North America,1 kg Copper Wire,Copper Scrap,4.711,Natural Gas,5.5,Rail,475.4,Diesel,3.851,1.584,2.644,3.502,0.952,0.103,3.566,50.89,41.85,Incineration,41.08
Manufacturing,Conventional,2020-2025,South America,1 kg Copper Wire,Copper Scrap,1.836,Electricity,56.51,Rail,884.5,Electric,0.805,1.076,3.354,0.281,0.674,0.314,7.478,40.55,34.96,Reuse,84.12
Raw Material Extraction,Advanced,2015-2019,South America,1 m2 Aluminium Panel,Aluminium Scrap,4.757,Coal,55.25,Truck,586.1,Diesel,0.352,3.566,2.92,0.252,0.198,0.202,3.834,65.86,92.84,Reuse,76.3
Manufacturing,Emerging,2015-2019,South America,1 kg Aluminium Sheet,Aluminium Ore,2.648,Natural Gas,41.0,Ship,392.6,Diesel,3.006,1.796,1.131,3.014,0.391,0.014,0.934,27.41,51.24,Reuse,35.42
Use,Conventional,2020-2025,North America,1 m2 Aluminium Panel,Copper Ore,0.608,Natural Gas,23.09,Ship,105.5,Electric,4.743,1.564,0.074,3.303,0.232,0.567,3.44,98.4,97.03,Reuse,65.6
Use,Emerging,2020-2025,Europe,1 kg Copper Wire,Aluminium Scrap,3.682,Natural Gas,43.16,Truck,962.6,Heavy Fuel Oil,2.119,1.197,0.577,1.041,0.572,0.245,13.258,38.22,88.69,Reuse,55.85
Transport,Conventional,2020-2025,Europe,1 kg Copper Wire,Copper Scrap,3.302,Electricity,56.1,Truck,886.7,Diesel,0.317,0.337,3.509,3.84,0.434,0.352,5.92,23.44,91.2,Landfill,29.51
Transport,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Aluminium Scrap,3.416,Electricity,78.92,Ship,31.7,Electric,0.169,1.666,3.48,1.304,0.001,0.288,2.258,21.94,33.32,Reuse,12.81
Raw Material Extraction,Conventional,2010-2014,North America,1 m2 Aluminium Panel,Aluminium Scrap,3.679,Coal,26.34,Ship,664.5,Diesel,2.995,4.49,0.44,1.073,0.865,0.822,4.246,10.77,85.62,Reuse,17.81
Manufacturing,Conventional,2015-2019,Europe,1 kg Copper Wire,Copper Ore,4.42,Electricity,96.15,Rail,228.6,Heavy Fuel Oil,4.202,2.119,3.944,2.037,0.07,0.713,3.438,92.7,41.77,Landfill,8.2
Transport,Conventional,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Ore,1.528,Coal,86.39,Ship,327.9,Heavy Fuel Oil,4.282,0.861,2.341,4.391,0.048,0.304,18.242,59.65,71.62,Reuse,84.21
Raw Material Extraction,Advanced,2010-2014,Asia,1 kg Copper Wire,Copper Ore,2.856,Electricity,84.69,Truck,642.4,Diesel,3.428,0.764,4.695,3.98,0.254,0.58,7.841,66.04,99.37,Recycling,4.57
Raw Material Extraction,Emerging,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Scrap,4.786,Natural Gas,8.17,Rail,466.2,Diesel,2.411,1.344,2.833,4.17,0.294,0.07,12.83,75.17,95.45,Recycling,15.95
Transport,Emerging,2010-2014,Europe,1 kg Copper Wire,Aluminium Ore,4.556,Coal,48.73,Ship,243.4,Electric,4.814,1.192,3.667,3.924,0.431,0.69,11.663,19.2,75.99,Landfill,92.8
Transport,Emerging,2020-2025,South America,1 kg Copper Wire,Copper Ore,2.699,Coal,99.44,Ship,433.7,Diesel,2.399,3.369,0.929,4.51,0.801,0.872,12.386,88.37,68.0,Landfill,51.16
Raw Material Extraction,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Aluminium Ore,4.693,Electricity,44.53,Ship,505.6,Electric,0.848,4.738,1.105,1.007,0.101,0.453,5.835,74.08,30.75,Recycling,72.08
End-of-Life,Conventional,2010-2014,Europe,1 kg Aluminium Sheet,Copper Scrap,1.382,Electricity,23.77,Ship,808.1,Diesel,1.855,0.559,4.807,0.887,0.15,0.358,2.365,15.56,84.64,Reuse,17.15
Transport,Advanced,2010-2014,South America,1 kg Aluminium Sheet,Aluminium Scrap,1.001,Natural Gas,88.12,Rail,449.4,Heavy Fuel Oil,0.786,2.908,0.208,2.137,0.59,0.957,6.866,76.51,13.27,Reuse,43.36
Transport,Advanced,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Scrap,1.504,Coal,49.75,Rail,423.1,Electric,4.899,4.587,2.911,0.883,0.557,0.792,1.242,43.4,4.26,Landfill,24.4
Manufacturing,Emerging,2015-2019,Asia,1 kg Copper Wire,Aluminium Scrap,0.915,Natural Gas,96.1,Rail,177.1,Diesel,0.751,4.86,2.58,3.79,0.327,0.533,0.634,40.88,55.51,Landfill,51.44
Transport,Conventional,2015-2019,Europe,1 kg Aluminium Sheet,Copper Scrap,2.326,Coal,79.0,Rail,506.6,Electric,3.181,0.923,4.308,1.814,0.482,0.352,17.892,90.07,22.43,Landfill,75.27
End-of-Life,Conventional,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Scrap,0.963,Natural Gas,3.96,Ship,838.2,Diesel,0.656,0.774,3.033,4.084,0.19,0.114,2.008,2.48,11.65,Landfill,94.27
End-of-Life,Advanced,2020-2025,Europe,1 kg Copper Wire,Copper Scrap,0.929,Natural Gas,60.16,Ship,921.8,Heavy Fuel Oil,3.139,0.164,2.982,4.515,0.323,0.314,5.353,50.55,23.79,Reuse,72.38
Use,Emerging,2020-2025,Asia,1 m2 Aluminium Panel,Copper Scrap,3.402,Natural Gas,40.68,Ship,725.3,Electric,0.492,3.748,3.015,3.15,0.065,0.618,10.135,48.59,32.19,Reuse,0.76
Raw Material Extraction,Emerging,2010-2014,Asia,1 kg Aluminium Sheet,Copper Scrap,2.402,Natural Gas,40.69,Truck,428.6,Diesel,3.06,1.5,1.347,2.489,0.592,0.567,17.692,76.91,5.22,Landfill,56.35
Use,Emerging,2015-2019,Asia,1 kg Aluminium Sheet,Aluminium Scrap,2.38,Coal,36.74,Truck,958.3,Heavy Fuel Oil,2.284,3.597,4.835,0.755,0.055,0.314,1.367,11.68,99.17,Landfill,96.02
Raw Material Extraction,Emerging,2010-2014,Europe,1 kg Copper Wire,Aluminium Scrap,3.611,Coal,75.55,Truck,149.1,Heavy Fuel Oil,2.976,0.772,1.892,1.727,0.614,0.08,2.518,60.99,63.61,Incineration,33.99
Manufacturing,Conventional,2010-2014,Europe,1 kg Aluminium Sheet,Copper Scrap,1.161,Electricity,88.72,Ship,62.4,Heavy Fuel Oil,3.587,0.7,3.187,3.318,0.804,0.395,0.925,81.1,44.41,Incineration,84.71
Manufacturing,Emerging,2010-2014,South America,1 kg Copper Wire,Aluminium Scrap,3.992,Coal,50.33,Ship,999.4,Heavy Fuel Oil,2.31,3.483,3.349,2.59,0.585,0.799,11.646,45.01,66.21,Incineration,3.55
Manufacturing,Conventional,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Ore,0.991,Coal,13.42,Ship,431.5,Diesel,4.359,3.216,4.863,0.2,0.722,0.314,0.954,82.59,16.27,Landfill,21.41
Manufacturing,Advanced,2010-2014,South America,1 kg Aluminium Sheet,Copper Scrap,2.032,Coal,79.05,Ship,628.3,Diesel,1.324,0.842,0.548,0.749,0.868,0.923,19.375,83.47,88.74,Recycling,81.61
Raw Material Extraction,Conventional,2010-2014,Asia,1 m2 Aluminium Panel,Aluminium Scrap,4.811,Electricity,84.72,Ship,467.4,Heavy Fuel Oil,1.616,2.921,3.041,2.875,0.707,0.699,2.2,28.55,88.99,Reuse,59.0
Transport,Emerging,2010-2014,North America,1 m2 Aluminium Panel,Copper Scrap,1.978,Coal,85.2,Truck,256.6,Electric,2.046,1.381,4.357,3.641,0.46,0.932,18.585,71.15,89.2,Recycling,71.94
Use,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Copper Ore,3.327,Electricity,42.66,Ship,280.7,Electric,0.301,4.004,0.611,2.052,0.235,0.455,6.642,82.97,97.82,Landfill,94.16
Use,Emerging,2015-2019,Asia,1 kg Copper Wire,Copper Scrap,3.301,Electricity,97.95,Rail,406.7,Diesel,2.612,1.284,4.49,0.899,0.61,0.799,12.11,7.88,61.14,Reuse,76.71
Transport,Emerging,2020-2025,Asia,1 kg Aluminium Sheet,Aluminium Ore,1.345,Electricity,73.96,Truck,879.8,Diesel,4.932,2.05,0.126,2.095,0.66,0.891,18.793,90.96,65.8,Landfill,68.25
End-of-Life,Advanced,2015-2019,Europe,1 kg Copper Wire,Aluminium Ore,0.511,Natural Gas,37.01,Ship,907.8,Diesel,3.448,2.34,0.521,1.232,0.555,0.898,2.368,15.38,65.5,Recycling,29.41
Transport,Emerging,2010-2014,Asia,1 kg Copper Wire,Copper Scrap,1.264,Natural Gas,18.67,Ship,497.7,Heavy Fuel Oil,2.919,4.522,2.649,3.456,0.181,0.713,13.15,21.62,66.94,Reuse,21.15
Transport,Conventional,2015-2019,Europe,1 kg Aluminium Sheet,Copper Scrap,3.171,Natural Gas,67.22,Ship,696.4,Heavy Fuel Oil,4.546,4.739,4.051,4.394,0.019,0.363,1.275,22.48,38.17,Reuse,86.76
Raw Material Extraction,Conventional,2010-2014,South America,1 kg Copper Wire,Copper Ore,2.803,Electricity,65.24,Rail,369.2,Diesel,3.015,4.078,1.506,4.661,0.213,0.919,1.052,54.28,98.52,Recycling,60.98
Manufacturing,Emerging,2010-2014,Asia,1 kg Aluminium Sheet,Copper Ore,2.997,Coal,68.56,Ship,296.4,Electric,0.27,1.255,0.881,4.618,0.852,0.318,16.803,21.18,19.96,Landfill,76.75
Use,Emerging,2015-2019,South America,1 kg Aluminium Sheet,Copper Scrap,1.971,Natural Gas,7.41,Rail,722.8,Diesel,4.948,2.83,1.318,1.865,0.649,0.701,17.783,90.88,86.13,Landfill,64.85
Manufacturing,Conventional,2015-2019,North America,1 m2 Aluminium Panel,Copper Scrap,2.524,Coal,68.25,Truck,669.9,Electric,1.09,2.538,1.041,4.496,0.323,0.805,7.856,76.37,22.09,Recycling,76.37
Use,Advanced,2010-2014,South America,1 kg Aluminium Sheet,Aluminium Scrap,1.308,Coal,49.59,Ship,122.5,Diesel,2.639,4.104,3.778,0.254,0.492,0.852,13.177,5.92,32.56,Recycling,55.66
Manufacturing,Conventional,2015-2019,North America,1 kg Aluminium Sheet,Aluminium Scrap,1.277,Coal,68.51,Rail,638.5,Heavy Fuel Oil,1.012,2.752,4.059,1.874,0.247,0.701,1.881,83.27,94.35,Recycling,96.48
Raw Material Extraction,Emerging,2010-2014,North America,1 kg Copper Wire,Aluminium Scrap,2.446,Electricity,62.7,Truck,858.8,Heavy Fuel Oil,1.117,0.139,1.923,4.422,0.505,0.53,13.984,57.45,5.45,Landfill,56.09
Raw Material Extraction,Conventional,2015-2019,Asia,1 kg Copper Wire,Aluminium Ore,3.416,Natural Gas,64.52,Rail,731.1,Diesel,2.6,4.5,2.321,2.591,0.78,0.833,13.143,12.64,33.2,Incineration,2.02
End-of-Life,Emerging,2010-2014,Asia,1 kg Copper Wire,Aluminium Scrap,1.83,Coal,57.45,Rail,807.2,Diesel,2.928,0.199,1.296,2.89,0.709,0.866,19.369,89.18,46.73,Recycling,74.69
Use,Emerging,2015-2019,North America,1 kg Copper Wire,Aluminium Scrap,1.582,Coal,7.32,Ship,64.5,Diesel,1.207,0.188,4.251,2.45,0.811,0.94,19.881,93.72,71.66,Recycling,44.2
End-of-Life,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Copper Ore,3.191,Natural Gas,81.83,Truck,898.6,Electric,4.782,3.653,2.7,4.842,0.959,0.478,13.149,80.93,43.31,Reuse,82.94
Transport,Emerging,2015-2019,Asia,1 kg Copper Wire,Copper Scrap,1.002,Natural Gas,48.63,Ship,487.8,Electric,3.423,0.582,0.516,4.503,0.304,0.327,15.649,41.49,83.29,Reuse,40.15
Use,Advanced,2015-2019,Asia,1 kg Copper Wire,Copper Scrap,3.923,Electricity,53.01,Truck,936.5,Heavy Fuel Oil,1.637,1.813,4.85,3.688,0.773,0.296,10.875,31.35,25.99,Recycling,53.52
Use,Advanced,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Scrap,4.945,Electricity,22.25,Rail,250.1,Diesel,1.216,3.959,2.552,1.924,0.844,0.297,8.148,7.36,11.89,Incineration,13.67
Manufacturing,Advanced,2015-2019,Asia,1 kg Aluminium Sheet,Copper Ore,2.061,Coal,52.88,Rail,10.7,Diesel,0.95,0.878,1.267,0.83,0.195,0.984,12.097,76.27,81.93,Reuse,66.77
Use,Conventional,2015-2019,Europe,1 kg Aluminium Sheet,Aluminium Ore,3.668,Electricity,63.6,Truck,652.9,Diesel,4.642,0.929,1.374,0.466,0.837,0.449,18.189,41.17,44.26,Recycling,44.84
Transport,Advanced,2010-2014,Europe,1 kg Copper Wire,Aluminium Scrap,3.256,Electricity,76.85,Rail,357.8,Diesel,3.151,1.02,2.77,2.733,0.889,0.896,10.001,2.46,84.46,Reuse,0.06
Transport,Advanced,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Scrap,2.652,Coal,2.96,Rail,359.1,Diesel,3.184,1.856,4.634,3.204,0.646,0.374,1.252,73.82,71.62,Recycling,53.01
Raw Material Extraction,Emerging,2010-2014,South America,1 kg Aluminium Sheet,Copper Scrap,2.373,Natural Gas,54.29,Ship,749.3,Electric,3.564,3.291,4.519,3.049,0.015,0.618,12.445,6.96,42.77,Recycling,65.11
Transport,Emerging,2010-2014,Europe,1 kg Copper Wire,Copper Scrap,3.67,Electricity,89.41,Rail,843.0,Electric,0.583,3.044,2.982,1.519,0.184,0.2,3.962,80.63,14.84,Recycling,26.44
Use,Advanced,2010-2014,South America,1 kg Copper Wire,Copper Ore,1.48,Natural Gas,71.57,Ship,166.8,Diesel,0.12,1.871,1.525,1.989,0.754,0.012,1.235,25.56,88.92,Recycling,16.91
End-of-Life,Emerging,2015-2019,Europe,1 kg Aluminium Sheet,Copper Ore,4.987,Electricity,80.76,Ship,461.6,Diesel,3.739,2.594,2.83,2.904,0.649,0.061,12.522,71.69,31.07,Reuse,97.86
Transport,Conventional,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Scrap,1.15,Coal,91.13,Ship,679.7,Electric,3.322,4.38,4.159,1.727,0.705,0.051,9.548,93.78,27.41,Reuse,5.0
Manufacturing,Advanced,2015-2019,South America,1 kg Aluminium Sheet,Aluminium Scrap,3.123,Natural Gas,36.15,Rail,385.9,Heavy Fuel Oil,2.912,3.108,2.187,2.538,0.993,0.957,14.293,16.15,36.0,Landfill,88.31
