Process Stage,Technology,Time Period,Location,Functional Unit,Raw Material Type,Raw Material Quantity (kg or unit),Energy Input Type,Energy Input Quantity (MJ),Transport Mode,Transport Distance (km),Fuel Type,Emissions to Air CO2 (kg),Emissions to Air SOx (kg),Emissions to Air NOx (kg),Emissions to Air Particulate Matter (kg),Emissions to Water BOD (kg),Emissions to Water Heavy Metals (kg),Greenhouse Gas Emissions (kg CO2-eq),Recycled Content (%),Reuse Potential (%),End-of-Life Treatment,Recovery Rate (%)
End-of-Life,Advanced,2020-2025,South America,1 kg Copper Wire,Aluminium Scrap,3.617,Coal,49.8,Rail,315.5,Electric,0.477,0.024,0.014,0.01,0.036,0.018,0.525,70.82,90.19,Recycling,75.26
Use,Advanced,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Scrap,1.222,Coal,66.76,Truck,187.5,Electric,0.679,0.034,0.02,0.014,0.012,0.006,0.747,64.86,84.52,Recycling,59.93
Transport,Advanced,2020-2025,Asia,1 kg Aluminium Sheet,Aluminium Ore,4.801,Electricity,15.74,Ship,574.8,Heavy Fuel Oil,0.143,0.007,0.004,0.003,0.048,0.024,0.158,18.42,90.77,Landfill,51.33
Raw Material Extraction,Emerging,2020-2025,Asia,1 m2 Aluminium Panel,Copper Scrap,3.489,Natural Gas,54.67,Rail,748.8,Heavy Fuel Oil,0.525,0.026,0.016,0.01,0.035,0.017,0.577,77.03,32.6,Recycling,52.79
Transport,Emerging,2015-2019,Asia,1 kg Aluminium Sheet,Copper Ore,4.134,Coal,61.29,Rail,734.6,Heavy Fuel Oil,0.714,0.036,0.021,0.014,0.041,0.021,0.785,20.14,27.19,Incineration,20.47
Use,Emerging,2015-2019,South America,1 m2 Aluminium Panel,Aluminium Scrap,1.001,Coal,60.61,Truck,292.2,Heavy Fuel Oil,0.582,0.029,0.017,0.012,0.01,0.005,0.641,71.17,47.91,Recycling,62.55
Use,Advanced,2020-2025,North America,1 m2 Aluminium Panel,Copper Scrap,1.438,Coal,87.93,Ship,480.3,Electric,0.856,0.043,0.026,0.017,0.014,0.007,0.941,67.6,62.7,Recycling,52.9
Use,Conventional,2010-2014,Asia,1 m2 Aluminium Panel,Aluminium Scrap,2.735,Electricity,36.63,Rail,660.5,Diesel,0.719,0.036,0.022,0.014,0.027,0.014,0.791,85.34,66.17,Recycling,65.18
Use,Advanced,2010-2014,Europe,1 kg Aluminium Sheet,Aluminium Ore,2.888,Coal,43.46,Rail,815.7,Heavy Fuel Oil,0.444,0.022,0.013,0.009,0.029,0.014,0.488,24.57,67.84,Incineration,32.7
Transport,Conventional,2010-2014,Asia,1 m2 Aluminium Panel,Copper Ore,2.77,Electricity,43.79,Ship,269.8,Electric,0.325,0.016,0.01,0.006,0.028,0.014,0.357,13.31,42.46,Incineration,23.2
Manufacturing,Conventional,2020-2025,Asia,1 kg Copper Wire,Aluminium Scrap,4.484,Coal,76.2,Ship,406.9,Electric,0.87,0.044,0.026,0.017,0.045,0.022,0.957,71.5,70.0,Recycling,71.84
Use,Conventional,2020-2025,North America,1 m2 Aluminium Panel,Aluminium Ore,1.059,Electricity,62.21,Ship,902.8,Electric,0.607,0.03,0.018,0.012,0.011,0.005,0.667,16.8,70.0,Incineration,36.88
Use,Emerging,2010-2014,Europe,1 kg Copper Wire,Aluminium Scrap,0.903,Electricity,87.41,Ship,50.1,Electric,0.908,0.045,0.027,0.018,0.009,0.005,0.999,75.55,41.4,Recycling,49.24
Transport,Advanced,2015-2019,Europe,1 m2 Aluminium Panel,Copper Ore,0.847,Electricity,16.48,Ship,182.7,Diesel,0.34,0.017,0.01,0.007,0.008,0.004,0.374,15.42,51.93,Incineration,31.0
Transport,Conventional,2010-2014,South America,1 m2 Aluminium Panel,Aluminium Ore,4.993,Coal,35.39,Truck,906.0,Heavy Fuel Oil,0.325,0.016,0.01,0.006,0.05,0.025,0.357,24.23,43.69,Landfill,24.58
Raw Material Extraction,Emerging,2020-2025,North America,1 m2 Aluminium Panel,Aluminium Scrap,2.12,Electricity,83.27,Ship,747.5,Heavy Fuel Oil,0.865,0.043,0.026,0.017,0.021,0.011,0.951,64.84,44.58,Recycling,47.21
End-of-Life,Emerging,2010-2014,North America,1 kg Copper Wire,Aluminium Ore,3.523,Coal,17.77,Ship,600.4,Diesel,0.338,0.017,0.01,0.007,0.035,0.018,0.371,100.0,58.95,Recycling,72.43
Raw Material Extraction,Conventional,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Ore,2.238,Electricity,43.04,Truck,671.6,Heavy Fuel Oil,0.345,0.017,0.01,0.007,0.022,0.011,0.379,17.35,58.08,Incineration,42.27
Manufacturing,Conventional,2010-2014,Europe,1 kg Copper Wire,Aluminium Scrap,3.429,Natural Gas,65.72,Ship,262.3,Electric,0.612,0.031,0.018,0.012,0.034,0.017,0.674,66.64,55.65,Recycling,50.06
End-of-Life,Emerging,2020-2025,South America,1 m2 Aluminium Panel,Copper Scrap,3.213,Electricity,22.42,Ship,885.3,Diesel,0.401,0.02,0.012,0.008,0.032,0.016,0.441,78.87,44.06,Recycling,49.75
Transport,Conventional,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Scrap,2.023,Coal,85.27,Rail,499.8,Diesel,1.835,0.092,0.055,0.037,0.02,0.01,2.018,83.32,25.39,Recycling,49.74
Use,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Copper Scrap,2.555,Natural Gas,96.17,Truck,637.1,Heavy Fuel Oil,1.094,0.055,0.033,0.022,0.026,0.013,1.203,91.53,38.71,Recycling,58.51
Manufacturing,Conventional,2015-2019,North America,1 kg Copper Wire,Copper Ore,0.849,Electricity,32.27,Ship,823.4,Electric,0.311,0.016,0.009,0.006,0.008,0.004,0.342,14.16,28.73,Recycling,21.64
Transport,Emerging,2015-2019,Europe,1 kg Copper Wire,Copper Ore,1.192,Natural Gas,43.33,Rail,389.9,Electric,0.432,0.022,0.013,0.009,0.012,0.006,0.475,21.9,49.82,Reuse,26.98
Use,Emerging,2015-2019,Asia,1 m2 Aluminium Panel,Copper Ore,1.749,Coal,10.38,Rail,876.0,Electric,0.094,0.005,0.003,0.002,0.017,0.009,0.103,13.49,19.2,Reuse,20.0
Manufacturing,Advanced,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Scrap,2.455,Natural Gas,43.4,Ship,414.7,Heavy Fuel Oil,0.423,0.021,0.013,0.008,0.025,0.012,0.466,86.31,79.77,Recycling,83.0
Raw Material Extraction,Emerging,2010-2014,Asia,1 m2 Aluminium Panel,Aluminium Scrap,4.783,Natural Gas,69.75,Rail,202.3,Electric,0.701,0.035,0.021,0.014,0.048,0.024,0.772,69.53,20.59,Recycling,45.4
Manufacturing,Emerging,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Ore,3.208,Electricity,86.64,Ship,730.3,Heavy Fuel Oil,0.963,0.048,0.029,0.019,0.032,0.016,1.059,23.15,37.47,Recycling,25.71
Transport,Emerging,2010-2014,North America,1 kg Aluminium Sheet,Copper Scrap,0.671,Natural Gas,15.35,Ship,914.1,Electric,0.164,0.008,0.005,0.003,0.007,0.003,0.18,68.53,60.68,Recycling,65.35
Use,Conventional,2015-2019,North America,1 m2 Aluminium Panel,Copper Ore,2.993,Electricity,49.13,Truck,425.7,Diesel,0.981,0.049,0.029,0.02,0.03,0.015,1.08,16.64,21.4,Reuse,20.0
End-of-Life,Conventional,2020-2025,Asia,1 m2 Aluminium Panel,Aluminium Scrap,4.99,Natural Gas,77.74,Ship,878.6,Heavy Fuel Oil,0.676,0.034,0.02,0.014,0.05,0.025,0.743,73.39,53.6,Recycling,61.1
Raw Material Extraction,Emerging,2015-2019,Europe,1 kg Copper Wire,Copper Scrap,2.975,Natural Gas,89.7,Rail,967.7,Diesel,1.521,0.076,0.046,0.03,0.03,0.015,1.673,78.41,45.73,Recycling,57.55
Manufacturing,Conventional,2020-2025,Europe,1 kg Aluminium Sheet,Copper Ore,1.818,Natural Gas,62.14,Rail,697.0,Heavy Fuel Oil,0.648,0.032,0.019,0.013,0.018,0.009,0.712,13.16,56.75,Incineration,27.09
End-of-Life,Emerging,2015-2019,South America,1 kg Aluminium Sheet,Aluminium Ore,3.716,Natural Gas,82.8,Truck,207.7,Electric,0.731,0.037,0.022,0.015,0.037,0.019,0.804,75.85,40.73,Recycling,49.72
Manufacturing,Advanced,2020-2025,Europe,1 m2 Aluminium Panel,Copper Scrap,1.176,Electricity,57.1,Truck,730.0,Electric,0.623,0.031,0.019,0.012,0.012,0.006,0.685,80.79,69.68,Recycling,62.17
Raw Material Extraction,Advanced,2020-2025,South America,1 kg Copper Wire,Copper Ore,1.234,Electricity,87.71,Rail,932.9,Electric,0.735,0.037,0.022,0.015,0.012,0.006,0.809,15.84,80.53,Reuse,37.98
End-of-Life,Emerging,2020-2025,South America,1 kg Copper Wire,Copper Scrap,3.571,Electricity,88.18,Truck,126.3,Heavy Fuel Oil,1.059,0.053,0.032,0.021,0.036,0.018,1.165,77.26,35.06,Recycling,56.81
End-of-Life,Emerging,2010-2014,South America,1 kg Copper Wire,Copper Ore,1.909,Electricity,91.38,Truck,57.1,Electric,0.661,0.033,0.02,0.013,0.019,0.01,0.727,66.34,33.73,Recycling,41.39
Transport,Conventional,2010-2014,North America,1 kg Aluminium Sheet,Copper Scrap,3.752,Electricity,37.32,Rail,316.6,Diesel,0.786,0.039,0.024,0.016,0.038,0.019,0.865,84.29,65.41,Recycling,73.62
Use,Advanced,2015-2019,Asia,1 m2 Aluminium Panel,Aluminium Ore,4.55,Natural Gas,68.62,Rail,763.6,Heavy Fuel Oil,0.603,0.03,0.018,0.012,0.045,0.023,0.663,19.06,61.72,Incineration,39.98
End-of-Life,Advanced,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Scrap,1.329,Natural Gas,26.37,Rail,44.6,Electric,0.269,0.013,0.008,0.005,0.013,0.007,0.295,71.84,67.71,Recycling,68.44
Use,Conventional,2010-2014,North America,1 m2 Aluminium Panel,Copper Ore,3.317,Coal,81.16,Ship,363.2,Diesel,1.416,0.071,0.042,0.028,0.033,0.017,1.557,26.6,15.85,Landfill,22.69
Use,Advanced,2010-2014,Europe,1 kg Copper Wire,Copper Scrap,4.9,Electricity,8.54,Rail,510.2,Electric,0.092,0.005,0.003,0.002,0.049,0.025,0.101,64.34,43.53,Recycling,46.31
Use,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Copper Scrap,1.625,Electricity,19.07,Ship,785.1,Electric,0.204,0.01,0.006,0.004,0.016,0.008,0.224,72.89,24.24,Recycling,46.0
Raw Material Extraction,Emerging,2020-2025,North America,1 kg Aluminium Sheet,Aluminium Ore,1.244,Electricity,89.4,Truck,606.8,Diesel,1.892,0.095,0.057,0.038,0.012,0.006,2.081,15.51,29.58,Reuse,24.56
Use,Conventional,2020-2025,South America,1 kg Copper Wire,Aluminium Ore,3.005,Natural Gas,30.05,Ship,89.3,Electric,0.344,0.017,0.01,0.007,0.03,0.015,0.379,17.09,0.0,Incineration,20.0
Use,Advanced,2020-2025,South America,1 kg Copper Wire,Copper Scrap,2.147,Coal,46.43,Ship,325.0,Diesel,0.871,0.044,0.026,0.017,0.021,0.011,0.958,81.61,62.81,Recycling,68.18
Raw Material Extraction,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Scrap,3.351,Electricity,45.54,Ship,775.8,Diesel,0.867,0.043,0.026,0.017,0.034,0.017,0.954,85.28,19.85,Recycling,53.46
Raw Material Extraction,Conventional,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Scrap,1.058,Natural Gas,93.1,Ship,172.7,Heavy Fuel Oil,0.887,0.044,0.027,0.018,0.011,0.005,0.976,76.53,56.59,Recycling,60.61
Transport,Advanced,2015-2019,South America,1 m2 Aluminium Panel,Copper Scrap,1.688,Natural Gas,54.64,Rail,417.3,Heavy Fuel Oil,0.591,0.03,0.018,0.012,0.017,0.008,0.65,61.45,39.84,Recycling,50.87
Manufacturing,Emerging,2020-2025,South America,1 kg Copper Wire,Aluminium Scrap,4.328,Electricity,6.26,Truck,94.4,Heavy Fuel Oil,0.065,0.003,0.002,0.001,0.043,0.022,0.072,92.62,70.0,Recycling,68.56
Raw Material Extraction,Advanced,2010-2014,North America,1 m2 Aluminium Panel,Aluminium Ore,0.917,Coal,76.02,Truck,545.3,Diesel,1.539,0.077,0.046,0.031,0.009,0.005,1.693,22.08,68.84,Landfill,32.59
Raw Material Extraction,Emerging,2015-2019,South America,1 m2 Aluminium Panel,Copper Ore,0.76,Electricity,74.8,Ship,506.8,Electric,0.772,0.039,0.023,0.015,0.008,0.004,0.849,19.55,54.49,Reuse,27.15
Raw Material Extraction,Advanced,2020-2025,South America,1 kg Copper Wire,Copper Ore,4.754,Natural Gas,57.52,Truck,222.0,Diesel,1.168,0.058,0.035,0.023,0.048,0.024,1.284,20.62,54.21,Incineration,37.18
Manufacturing,Advanced,2020-2025,Europe,1 kg Copper Wire,Aluminium Ore,1.358,Coal,62.8,Ship,488.0,Diesel,1.162,0.058,0.035,0.023,0.014,0.007,1.278,21.63,64.7,Landfill,32.01
Raw Material Extraction,Emerging,2010-2014,South America,1 kg Aluminium Sheet,Aluminium Scrap,1.664,Electricity,62.31,Ship,373.9,Diesel,1.381,0.069,0.041,0.028,0.017,0.008,1.519,87.39,51.02,Recycling,70.35
Raw Material Extraction,Advanced,2015-2019,Europe,1 kg Copper Wire,Aluminium Ore,4.59,Electricity,27.32,Ship,427.5,Heavy Fuel Oil,0.271,0.014,0.008,0.005,0.046,0.023,0.298,15.75,100.0,Recycling,48.54
Transport,Emerging,2020-2025,North America,1 kg Aluminium Sheet,Aluminium Ore,0.788,Natural Gas,4.21,Rail,425.7,Electric,0.045,0.002,0.001,0.001,0.008,0.004,0.049,16.46,15.56,Reuse,20.37
Use,Emerging,2015-2019,Asia,1 kg Aluminium Sheet,Aluminium Scrap,0.706,Natural Gas,19.06,Ship,694.8,Diesel,0.394,0.02,0.012,0.008,0.007,0.004,0.434,82.86,50.67,Recycling,61.5
End-of-Life,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Copper Scrap,2.924,Natural Gas,24.28,Rail,974.9,Heavy Fuel Oil,0.254,0.013,0.008,0.005,0.029,0.015,0.28,76.81,50.32,Recycling,53.71
Raw Material Extraction,Conventional,2020-2025,Asia,1 kg Aluminium Sheet,Copper Scrap,2.351,Coal,97.23,Rail,192.9,Heavy Fuel Oil,1.143,0.057,0.034,0.023,0.024,0.012,1.257,68.55,22.9,Recycling,31.9
Use,Advanced,2010-2014,Asia,1 kg Copper Wire,Copper Ore,1.637,Natural Gas,81.92,Ship,101.1,Electric,0.844,0.042,0.025,0.017,0.016,0.008,0.929,29.25,69.32,Reuse,34.23
End-of-Life,Emerging,2015-2019,South America,1 kg Aluminium Sheet,Copper Scrap,4.235,Natural Gas,45.1,Rail,130.7,Diesel,0.948,0.047,0.028,0.019,0.042,0.021,1.043,77.98,18.03,Recycling,56.3
Manufacturing,Conventional,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Scrap,3.04,Natural Gas,46.26,Ship,906.8,Heavy Fuel Oil,0.419,0.021,0.013,0.008,0.03,0.015,0.461,78.99,70.0,Recycling,74.17
End-of-Life,Advanced,2020-2025,Europe,1 kg Aluminium Sheet,Copper Ore,3.944,Natural Gas,93.4,Ship,448.7,Diesel,1.842,0.092,0.055,0.037,0.039,0.02,2.027,57.99,44.34,Recycling,46.62
Raw Material Extraction,Conventional,2015-2019,South America,1 kg Copper Wire,Aluminium Ore,2.156,Natural Gas,4.14,Truck,169.0,Electric,0.035,0.002,0.001,0.001,0.022,0.011,0.038,13.71,21.44,Landfill,20.0
End-of-Life,Conventional,2015-2019,South America,1 kg Copper Wire,Aluminium Ore,3.87,Coal,30.16,Truck,709.5,Heavy Fuel Oil,0.337,0.017,0.01,0.007,0.039,0.019,0.371,74.84,33.84,Recycling,49.46
Raw Material Extraction,Advanced,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Scrap,3.559,Coal,91.58,Rail,151.6,Diesel,1.772,0.089,0.053,0.035,0.036,0.018,1.949,74.97,75.59,Recycling,67.08
Manufacturing,Emerging,2020-2025,North America,1 m2 Aluminium Panel,Copper Scrap,3.056,Coal,8.15,Truck,706.0,Heavy Fuel Oil,0.101,0.005,0.003,0.002,0.031,0.015,0.111,92.3,29.2,Recycling,68.09
End-of-Life,Conventional,2020-2025,Europe,1 m2 Aluminium Panel,Aluminium Ore,1.724,Natural Gas,69.66,Truck,671.5,Electric,0.566,0.028,0.017,0.011,0.017,0.009,0.622,86.66,0.0,Recycling,45.63
Raw Material Extraction,Emerging,2020-2025,South America,1 m2 Aluminium Panel,Aluminium Ore,1.748,Electricity,55.61,Ship,661.4,Heavy Fuel Oil,0.586,0.029,0.018,0.012,0.017,0.009,0.645,20.54,21.57,Recycling,20.0
Transport,Advanced,2010-2014,North America,1 kg Copper Wire,Aluminium Scrap,3.504,Electricity,60.44,Ship,11.8,Electric,0.538,0.027,0.016,0.011,0.035,0.018,0.592,71.61,70.56,Recycling,64.2
End-of-Life,Conventional,2015-2019,Europe,1 m2 Aluminium Panel,Copper Ore,1.778,Coal,11.11,Ship,213.1,Diesel,0.21,0.011,0.006,0.004,0.018,0.009,0.231,73.37,37.59,Recycling,43.8
Use,Emerging,2010-2014,Europe,1 m2 Aluminium Panel,Aluminium Ore,1.938,Coal,56.42,Rail,350.7,Diesel,1.065,0.053,0.032,0.021,0.019,0.01,1.172,19.4,32.54,Reuse,21.5
End-of-Life,Emerging,2020-2025,Europe,1 m2 Aluminium Panel,Copper Scrap,2.051,Coal,64.87,Truck,523.7,Electric,0.7,0.035,0.021,0.014,0.021,0.01,0.77,72.42,32.96,Recycling,47.01
Use,Emerging,2020-2025,North America,1 kg Copper Wire,Aluminium Ore,3.542,Natural Gas,20.53,Rail,682.0,Heavy Fuel Oil,0.207,0.01,0.006,0.004,0.035,0.018,0.228,13.82,42.64,Reuse,23.86
Raw Material Extraction,Conventional,2015-2019,South America,1 m2 Aluminium Panel,Copper Ore,4.84,Coal,13.58,Ship,909.6,Diesel,0.256,0.013,0.008,0.005,0.048,0.024,0.281,14.97,13.25,Recycling,20.0
Use,Advanced,2020-2025,Europe,1 kg Copper Wire,Aluminium Scrap,4.34,Coal,33.66,Truck,818.6,Heavy Fuel Oil,0.38,0.019,0.011,0.008,0.043,0.022,0.418,70.52,92.09,Recycling,72.97
Raw Material Extraction,Advanced,2010-2014,South America,1 kg Copper Wire,Aluminium Scrap,1.189,Coal,64.18,Ship,775.9,Diesel,1.262,0.063,0.038,0.025,0.012,0.006,1.388,75.12,40.85,Recycling,52.7
Transport,Conventional,2020-2025,Asia,1 kg Aluminium Sheet,Copper Ore,1.894,Electricity,18.44,Ship,814.8,Diesel,0.352,0.018,0.011,0.007,0.019,0.009,0.388,17.17,69.39,Reuse,36.57
Raw Material Extraction,Advanced,2015-2019,South America,1 kg Aluminium Sheet,Copper Ore,0.822,Coal,64.04,Ship,157.8,Electric,0.559,0.028,0.017,0.011,0.008,0.004,0.615,19.77,48.97,Incineration,32.11
Use,Advanced,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Scrap,3.968,Coal,64.76,Ship,575.9,Electric,0.648,0.032,0.019,0.013,0.04,0.02,0.712,93.12,81.27,Recycling,71.9
Manufacturing,Conventional,2015-2019,Europe,1 m2 Aluminium Panel,Aluminium Ore,4.807,Electricity,60.51,Truck,633.3,Diesel,1.213,0.061,0.036,0.024,0.048,0.024,1.335,23.73,10.67,Reuse,20.0
Manufacturing,Conventional,2015-2019,Asia,1 kg Aluminium Sheet,Copper Scrap,2.54,Natural Gas,17.89,Rail,230.3,Heavy Fuel Oil,0.167,0.008,0.005,0.003,0.025,0.013,0.184,69.48,45.39,Recycling,51.3
Raw Material Extraction,Emerging,2015-2019,North America,1 m2 Aluminium Panel,Copper Ore,1.493,Natural Gas,42.24,Rail,25.9,Diesel,0.869,0.043,0.026,0.017,0.015,0.007,0.956,21.44,18.62,Landfill,20.0
End-of-Life,Emerging,2010-2014,North America,1 m2 Aluminium Panel,Aluminium Scrap,0.986,Natural Gas,60.95,Truck,829.9,Electric,0.592,0.03,0.018,0.012,0.01,0.005,0.651,85.59,26.65,Recycling,51.96
Transport,Advanced,2010-2014,Asia,1 kg Aluminium Sheet,Copper Ore,3.985,Coal,28.29,Rail,486.1,Diesel,0.57,0.028,0.017,0.011,0.04,0.02,0.627,20.6,73.95,Recycling,47.09
Raw Material Extraction,Advanced,2010-2014,North America,1 kg Copper Wire,Copper Scrap,3.742,Coal,16.52,Ship,873.3,Diesel,0.342,0.017,0.01,0.007,0.037,0.019,0.376,82.49,51.07,Recycling,57.2
Transport,Conventional,2020-2025,North America,1 kg Copper Wire,Copper Ore,1.183,Electricity,93.08,Truck,185.1,Heavy Fuel Oil,0.914,0.046,0.027,0.018,0.012,0.006,1.005,18.85,47.47,Incineration,29.72
Raw Material Extraction,Emerging,2020-2025,South America,1 kg Aluminium Sheet,Aluminium Ore,4.149,Natural Gas,56.76,Ship,993.9,Diesel,0.976,0.049,0.029,0.02,0.041,0.021,1.073,8.69,21.16,Incineration,20.0
Manufacturing,Emerging,2010-2014,Asia,1 kg Aluminium Sheet,Aluminium Scrap,2.675,Electricity,15.59,Ship,146.5,Electric,0.157,0.008,0.005,0.003,0.027,0.013,0.172,81.16,51.95,Recycling,63.77
Manufacturing,Conventional,2010-2014,Asia,1 m2 Aluminium Panel,Aluminium Scrap,3.465,Coal,33.69,Ship,164.8,Electric,0.358,0.018,0.011,0.007,0.035,0.017,0.393,75.25,31.6,Recycling,59.58
Use,Advanced,2015-2019,Asia,1 m2 Aluminium Panel,Aluminium Ore,0.632,Natural Gas,27.35,Truck,731.6,Diesel,0.394,0.02,0.012,0.008,0.006,0.003,0.433,22.69,83.73,Incineration,36.86
Raw Material Extraction,Conventional,2015-2019,North America,1 m2 Aluminium Panel,Aluminium Scrap,4.849,Natural Gas,90.21,Rail,40.2,Electric,0.717,0.036,0.022,0.014,0.048,0.024,0.788,77.7,70.0,Recycling,68.09
Raw Material Extraction,Advanced,2010-2014,Asia,1 m2 Aluminium Panel,Aluminium Scrap,1.4,Electricity,78.38,Ship,480.3,Electric,0.83,0.041,0.025,0.017,0.014,0.007,0.913,70.37,80.79,Recycling,76.04
End-of-Life,Conventional,2010-2014,South America,1 kg Aluminium Sheet,Aluminium Scrap,4.874,Coal,42.12,Ship,422.9,Electric,0.425,0.021,0.013,0.008,0.049,0.024,0.467,88.75,66.63,Recycling,66.58
Use,Emerging,2020-2025,Asia,1 m2 Aluminium Panel,Copper Scrap,3.289,Electricity,31.33,Ship,304.9,Diesel,0.583,0.029,0.018,0.012,0.033,0.016,0.642,78.32,50.77,Recycling,53.86
Transport,Emerging,2015-2019,Asia,1 kg Copper Wire,Aluminium Ore,3.759,Coal,73.95,Truck,381.3,Heavy Fuel Oil,0.749,0.037,0.022,0.015,0.038,0.019,0.824,25.3,66.54,Incineration,37.96
End-of-Life,Conventional,2010-2014,Asia,1 kg Copper Wire,Copper Ore,1.596,Electricity,86.16,Rail,543.4,Electric,0.857,0.043,0.026,0.017,0.016,0.008,0.943,80.69,43.6,Recycling,59.87
Raw Material Extraction,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Aluminium Ore,3.282,Electricity,42.78,Ship,956.8,Diesel,0.849,0.042,0.025,0.017,0.033,0.016,0.934,5.21,59.31,Landfill,30.99
Use,Emerging,2020-2025,Asia,1 kg Copper Wire,Aluminium Ore,1.812,Natural Gas,77.75,Ship,137.3,Heavy Fuel Oil,0.812,0.041,0.024,0.016,0.018,0.009,0.893,25.65,9.27,Incineration,20.0
Use,Emerging,2010-2014,South America,1 kg Aluminium Sheet,Copper Scrap,4.039,Electricity,80.69,Truck,488.1,Heavy Fuel Oil,0.693,0.035,0.021,0.014,0.04,0.02,0.763,73.85,54.2,Recycling,65.08
End-of-Life,Emerging,2010-2014,South America,1 kg Aluminium Sheet,Aluminium Ore,1.43,Coal,79.65,Ship,883.4,Diesel,1.49,0.075,0.045,0.03,0.014,0.007,1.639,66.85,58.99,Recycling,73.71
End-of-Life,Conventional,2010-2014,Europe,1 kg Aluminium Sheet,Copper Ore,3.229,Coal,33.75,Truck,926.7,Electric,0.366,0.018,0.011,0.007,0.032,0.016,0.403,67.02,5.09,Recycling,35.39
End-of-Life,Advanced,2015-2019,South America,1 m2 Aluminium Panel,Aluminium Scrap,1.35,Electricity,95.7,Rail,565.7,Heavy Fuel Oil,1.085,0.054,0.033,0.022,0.014,0.007,1.193,84.92,73.38,Recycling,69.6
Use,Advanced,2015-2019,North America,1 kg Aluminium Sheet,Copper Ore,1.243,Coal,74.31,Ship,149.9,Heavy Fuel Oil,0.781,0.039,0.023,0.016,0.012,0.006,0.859,24.63,46.52,Landfill,24.59
Manufacturing,Conventional,2020-2025,Asia,1 kg Copper Wire,Copper Scrap,1.17,Natural Gas,90.5,Rail,127.3,Heavy Fuel Oil,0.762,0.038,0.023,0.015,0.012,0.006,0.838,78.32,48.67,Recycling,54.1
Manufacturing,Emerging,2010-2014,South America,1 kg Aluminium Sheet,Copper Ore,4.962,Coal,60.9,Truck,462.8,Heavy Fuel Oil,0.577,0.029,0.017,0.012,0.05,0.025,0.634,18.65,45.95,Recycling,20.16
End-of-Life,Emerging,2015-2019,Europe,1 m2 Aluminium Panel,Copper Scrap,3.892,Coal,87.92,Rail,795.8,Electric,0.908,0.045,0.027,0.018,0.039,0.019,0.998,75.57,21.29,Recycling,58.66
Manufacturing,Emerging,2010-2014,North America,1 kg Copper Wire,Aluminium Ore,3.077,Electricity,1.8,Ship,77.1,Electric,0.016,0.001,0.0,0.0,0.031,0.015,0.017,20.51,0.0,Landfill,20.0
End-of-Life,Emerging,2020-2025,Asia,1 kg Aluminium Sheet,Copper Scrap,4.583,Electricity,95.02,Rail,980.0,Electric,1.057,0.053,0.032,0.021,0.046,0.023,1.163,85.17,47.88,Recycling,57.77
Use,Conventional,2015-2019,Asia,1 kg Copper Wire,Aluminium Scrap,4.69,Coal,54.46,Ship,195.0,Diesel,1.291,0.065,0.039,0.026,0.047,0.023,1.42,82.41,42.74,Recycling,66.1
Raw Material Extraction,Conventional,2015-2019,Asia,1 m2 Aluminium Panel,Aluminium Ore,1.478,Natural Gas,92.74,Ship,775.9,Electric,1.003,0.05,0.03,0.02,0.015,0.007,1.103,17.0,13.5,Incineration,20.0
Use,Conventional,2015-2019,Europe,1 m2 Aluminium Panel,Copper Scrap,4.384,Coal,87.45,Ship,404.5,Diesel,1.424,0.071,0.043,0.028,0.044,0.022,1.567,75.58,52.41,Recycling,57.21
Manufacturing,Conventional,2015-2019,Asia,1 m2 Aluminium Panel,Aluminium Ore,1.961,Coal,51.65,Rail,733.7,Electric,0.482,0.024,0.014,0.01,0.02,0.01,0.53,16.02,67.44,Reuse,28.67
Raw Material Extraction,Emerging,2020-2025,Europe,1 kg Aluminium Sheet,Copper Scrap,4.179,Electricity,55.12,Ship,141.6,Electric,0.493,0.025,0.015,0.01,0.042,0.021,0.542,78.48,43.52,Recycling,52.6
Manufacturing,Conventional,2010-2014,South America,1 kg Aluminium Sheet,Copper Ore,4.803,Natural Gas,83.92,Rail,776.7,Diesel,1.765,0.088,0.053,0.035,0.048,0.024,1.942,21.48,53.54,Incineration,38.9
End-of-Life,Emerging,2010-2014,North America,1 kg Copper Wire,Aluminium Scrap,2.141,Electricity,10.99,Ship,466.4,Diesel,0.223,0.011,0.007,0.004,0.021,0.011,0.245,87.45,50.25,Recycling,58.4
